customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7010-BRBUU,Male,False,True,True,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),24.1,1734.65,False
9688-YGXVR,Female,False,False,False,44,True,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,True,Credit card (automatic),88.15,3973.2,False
9286-DOJGF,Female,True,True,False,38,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),74.95,2869.85,True
6994-KERXL,Male,False,False,False,4,True,No,DSL,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,55.9,238.5,False
2181-UAESM,Male,False,False,False,2,True,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,False,Electronic check,53.45,119.5,False
4312-GVYNH,Female,False,True,False,70,False,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,True,Bank transfer (automatic),49.85,3370.2,False
2495-KZNFB,Female,False,False,False,33,True,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,True,Electronic check,90.65,2989.6,False
4367-NHWMM,Female,False,False,False,1,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,24.9,24.9,False
8898-KASCD,Male,False,False,False,39,False,No phone service,DSL,No,No,Yes,Yes,No,No,One year,False,Mailed check,35.55,1309.15,False
8016-NCFVO,Male,True,False,False,55,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,116.5,6382.55,False
4578-PHJYZ,Male,False,True,True,52,True,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,True,Electronic check,68.75,3482.85,False
2091-MJTFX,Female,False,True,True,30,False,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,False,Credit card (automatic),51.2,1561.5,True
2277-DJJDL,Male,True,True,False,60,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,99.0,6017.9,False
2511-MORQY,Male,False,True,True,50,True,Yes,DSL,No,No,Yes,No,No,No,One year,False,Bank transfer (automatic),54.9,2614.1,False
2731-GJRDG,Female,False,False,False,32,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,True,Bank transfer (automatic),109.55,3608.0,False
1784-EZDKJ,Male,False,True,False,51,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,True,Bank transfer (automatic),106.8,5498.8,False
2468-SJFLM,Male,False,False,False,1,True,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,True,Mailed check,74.3,74.3,False
5115-SQAAU,Female,False,True,True,69,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),25.6,1673.4,False
8708-XPXHZ,Female,False,True,True,42,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,94.2,4186.3,True
0601-WZHJF,Male,False,True,False,14,False,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,46.35,667.7,True
0463-TXOAK,Male,False,False,True,52,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),25.6,1334.5,False
4683-WYDOU,Male,False,True,False,62,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),107.6,6912.7,False
1166-PQLGG,Female,False,True,True,72,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),19.55,1463.45,False
0963-ZBDRN,Male,False,False,False,32,True,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,96.2,3183.4,True
4871-JTKJF,Female,True,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.65,69.65,True
7173-TETGO,Female,True,True,False,72,True,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,False,Bank transfer (automatic),78.5,5602.25,False
4193-ORFCL,Female,True,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,45.1,45.1,True
2692-PFYTJ,Female,False,False,False,1,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,25.75,25.75,False
2369-UAPKZ,Male,False,False,False,5,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,False,Mailed check,104.1,541.9,True
5193-QLVZB,Male,False,False,False,63,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,True,Bank transfer (automatic),104.75,6536.5,False
0379-DJQHR,Male,False,True,True,67,True,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,False,Credit card (automatic),81.35,5398.6,False
4657-FWVFY,Female,False,True,True,40,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,True,Credit card (automatic),96.35,3915.4,False
0623-EJQEG,Male,False,False,False,65,True,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,False,Electronic check,93.55,6069.25,False
1699-TLDLZ,Female,False,True,True,16,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.7,301.55,False
4501-UYKBC,Female,True,False,False,46,True,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,True,Credit card (automatic),69.1,3255.35,False
8158-WPEZG,Male,False,False,False,11,False,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,True,Electronic check,35.65,425.1,False
9732-EQMWY,Female,False,True,False,49,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,False,Electronic check,99.4,5025.0,False
1099-BTKWT,Female,False,True,False,68,False,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,True,Electronic check,54.4,3723.65,False
4815-TUMEQ,Female,False,False,False,10,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Mailed check,19.3,185.2,False
6407-UTSLV,Female,True,False,False,2,True,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),83.8,163.7,False
0018-NYROU,Female,False,True,False,5,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,68.95,351.5,False
4632-XJMEX,Male,False,False,True,53,True,No,DSL,Yes,Yes,No,Yes,No,No,One year,False,Credit card (automatic),62.85,3419.5,False
1409-PHXTF,Male,True,True,False,54,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,110.45,6077.75,False
8229-TNIQA,Female,False,False,False,4,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,45.3,196.95,True
0529-ONKER,Male,True,False,False,15,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Electronic check,75.65,1146.65,True
3675-YDUPJ,Male,False,False,False,10,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,19.85,193.05,False
4484-CGXFK,Female,False,False,False,3,True,No,DSL,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,55.3,196.15,True
4443-EMBNA,Female,False,True,False,71,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),24.75,1836.9,False
4280-DLSHD,Male,False,True,False,8,True,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,True,Mailed check,54.75,445.85,False
9300-AGZNL,Male,True,False,False,1,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,94.0,94.0,True
2789-CZANW,Female,False,True,True,64,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,False,Bank transfer (automatic),110.3,6997.3,False
8464-EETCQ,Male,False,False,False,57,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),18.8,1094.35,False
7216-EWTRS,Female,True,True,False,1,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,100.8,100.8,True
4468-KAZHE,Female,True,True,False,20,True,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,True,Electronic check,60.0,1259.35,False
8623-ULFNQ,Female,True,False,False,26,True,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,True,Electronic check,66.05,1652.4,False
